iter	MultiClass
0	1.014386858
1	0.9473487415
2	0.8892782632
3	0.8468121191
4	0.8093122436
5	0.7749197824
6	0.7448331872
7	0.7191214765
8	0.6981056228
9	0.6820205377
10	0.6615710427
11	0.6472831542
12	0.6329866597
13	0.6182904925
14	0.6066295503
15	0.5963605269
16	0.5860445097
17	0.5765244974
18	0.5675899244
19	0.5597098214
20	0.5518719562
21	0.5455696516
22	0.5397503062
23	0.5335692227
24	0.5277443286
25	0.5222700186
26	0.5176626004
27	0.5128359538
28	0.5061773466
29	0.5017061534
30	0.497839933
31	0.4932245315
32	0.4881573113
33	0.4837785767
34	0.4809467266
35	0.4770010699
36	0.4729792041
37	0.4693362036
38	0.4672462308
39	0.4610760747
40	0.4586341589
41	0.4538894115
42	0.4497132027
43	0.4464877948
44	0.4423865777
45	0.4382394709
46	0.4344912442
47	0.4310195158
48	0.4277925792
49	0.425475508
50	0.4220107438
51	0.4194460216
52	0.4164669341
53	0.4153183351
54	0.4115954737
55	0.4089587606
56	0.4054395573
57	0.4031063497
58	0.3999328047
59	0.3964557258
60	0.3932034239
61	0.3905399018
62	0.3864382034
63	0.384671581
64	0.3815274778
65	0.3795882528
66	0.3769486521
67	0.3731866104
68	0.3703691981
69	0.3669132664
70	0.3643704275
71	0.360956422
72	0.3589585115
73	0.3572946524
74	0.354830825
75	0.3532712579
76	0.351049816
77	0.3496828097
78	0.3473354191
79	0.3459496153
80	0.3440769174
81	0.3422090605
82	0.3400114551
83	0.3368499416
84	0.3345982369
85	0.3329235636
86	0.3309527735
87	0.3275588961
88	0.3259204305
89	0.3228332859
90	0.3220663548
91	0.3206163735
92	0.3173257124
93	0.3141981702
94	0.3118294626
95	0.3101465512
96	0.3080801884
97	0.306496898
98	0.3044644216
99	0.3029611619
100	0.3005331461
101	0.2979235534
102	0.296628538
103	0.2945260241
104	0.2931915453
105	0.2917449328
106	0.2894054406
107	0.2874854659
108	0.2860355979
109	0.284549975
110	0.2819594912
111	0.2806291173
112	0.2786839756
113	0.2776302415
114	0.2766749111
115	0.2744168085
116	0.2726930749
117	0.2718696099
118	0.2696877446
119	0.2685079203
120	0.2674429757
121	0.2658105401
122	0.2651929979
123	0.2636692705
124	0.2621704838
125	0.2609799585
126	0.259499771
127	0.2586119869
128	0.2571900603
129	0.2556323333
130	0.2534562997
131	0.2524892775
132	0.2506750669
133	0.2491515943
134	0.2475972928
135	0.245942889
136	0.245408067
137	0.243997266
138	0.2430405767
139	0.242032251
140	0.2409316649
141	0.2391139439
142	0.2380977199
143	0.2355062736
144	0.2346137052
145	0.2334944207
146	0.232626524
147	0.2314315258
148	0.230097684
149	0.2290296254
150	0.2283816223
151	0.2267434681
152	0.2255857818
153	0.2250034
154	0.2240383736
155	0.2224561022
156	0.2205657959
157	0.2194349045
158	0.2188303847
159	0.2180287887
160	0.2163785747
161	0.2156250623
162	0.2149574549
163	0.2135769025
164	0.2128685719
165	0.2115584534
166	0.2107829588
167	0.2094670368
168	0.2087232204
169	0.2074975065
170	0.2066580749
171	0.20537737
172	0.2040417446
173	0.2038480939
174	0.2030881411
175	0.2017307317
176	0.2006980882
177	0.2002508981
178	0.1991501845
179	0.1982221161
180	0.1971296548
181	0.1957022785
182	0.1947722143
183	0.1938137982
184	0.1931393399
185	0.1921697698
186	0.1918105654
187	0.1909082161
188	0.1901743646
189	0.1891014934
190	0.1881044349
191	0.1873102418
192	0.1867437982
193	0.1858695319
194	0.184952221
195	0.1840919396
196	0.1833859021
197	0.1829518193
198	0.1824483075
199	0.181910046
200	0.1814080912
201	0.1805656872
202	0.1800004043
203	0.179244896
204	0.1789084808
205	0.1779600862
206	0.1771631471
207	0.1764793042
208	0.1758998099
209	0.1752442624
210	0.1745042111
211	0.1740292919
212	0.1733667377
213	0.1727700455
214	0.1719051354
215	0.1714433943
216	0.1706095963
217	0.1701441183
218	0.1695048769
219	0.1682975075
220	0.1675684545
221	0.1671024811
222	0.1660490868
223	0.1655709403
224	0.1648996102
225	0.164569692
226	0.1637825479
227	0.1629370298
228	0.161930063
229	0.1614102309
230	0.1606659898
231	0.1602610799
232	0.159309826
233	0.1582098343
234	0.1575592267
235	0.1564356392
236	0.1556030726
237	0.15508777
238	0.1542624507
239	0.1534630487
240	0.152779772
241	0.1523115905
242	0.1515817023
243	0.1513360188
244	0.1508702011
245	0.1504554253
