iter	Passed	Remaining
0	32	32488
1	66	33427
2	101	33753
3	145	36175
4	183	36581
5	221	36704
6	248	35230
7	273	33897
8	301	33144
9	333	33030
10	361	32513
11	387	31901
12	413	31369
13	442	31165
14	471	30971
15	496	30539
16	521	30128
17	547	29842
18	576	29740
19	611	29957
20	646	30148
21	672	29906
22	702	29827
23	735	29894
24	774	30218
25	802	30060
26	833	30018
27	859	29822
28	885	29653
29	908	29382
30	934	29198
31	959	29029
32	985	28891
33	1011	28732
34	1034	28516
35	1058	28346
36	1087	28296
37	1120	28369
38	1146	28260
39	1177	28253
40	1209	28291
41	1240	28305
42	1274	28362
43	1303	28331
44	1339	28431
45	1368	28387
46	1397	28340
47	1427	28315
48	1461	28358
49	1491	28337
50	1526	28405
51	1554	28332
52	1585	28328
53	1609	28197
54	1640	28189
55	1666	28093
56	1695	28050
57	1718	27914
58	1745	27839
59	1784	27964
60	1816	27968
61	1851	28017
62	1888	28081
63	1925	28157
64	1965	28273
65	1994	28231
66	2025	28202
67	2053	28150
68	2082	28098
69	2119	28159
70	2150	28141
71	2175	28041
72	2203	27977
73	2235	27977
74	2267	27963
75	2302	27994
76	2328	27913
77	2361	27908
78	2387	27839
79	2422	27861
80	2453	27837
81	2480	27763
82	2504	27673
83	2538	27677
84	2567	27633
85	2601	27648
86	2635	27654
87	2670	27677
88	2696	27605
89	2723	27533
90	2746	27436
91	2772	27366
92	2804	27355
93	2839	27371
94	2876	27400
95	2910	27406
96	2943	27403
97	2977	27404
98	3003	27335
99	3030	27275
100	3059	27231
101	3092	27228
102	3126	27230
103	3162	27244
104	3189	27183
105	3216	27124
106	3249	27119
107	3279	27083
108	3305	27019
109	3334	26977
110	3367	26973
111	3393	26904
112	3423	26873
113	3457	26873
114	3482	26800
115	3510	26752
116	3540	26719
117	3564	26645
118	3591	26590
119	3616	26520
120	3641	26451
121	3669	26410
122	3698	26369
123	3731	26362
124	3761	26332
125	3787	26271
126	3815	26225
127	3856	26272
128	3897	26317
129	3930	26306
130	3974	26365
131	4010	26370
132	4054	26430
133	4097	26478
134	4132	26475
135	4171	26503
136	4221	26590
137	4251	26554
138	4277	26497
139	4313	26497
140	4341	26452
141	4371	26414
142	4412	26442
143	4440	26398
144	4465	26331
145	4500	26321
146	4533	26306
147	4564	26278
148	4597	26257
149	4632	26249
150	4657	26189
151	4688	26155
152	4714	26099
153	4737	26027
154	4762	25965
155	4788	25907
156	4817	25867
157	4882	26021
158	4917	26010
159	4946	25966
160	4973	25915
161	4998	25857
162	5022	25789
163	5051	25749
164	5077	25695
165	5114	25693
166	5145	25664
167	5178	25647
168	5212	25628
169	5243	25601
170	5270	25549
171	5298	25504
172	5326	25464
173	5351	25403
174	5376	25346
175	5405	25308
176	5431	25253
177	5458	25205
178	5488	25174
179	5515	25127
180	5546	25098
181	5573	25051
182	5602	25013
183	5631	24976
184	5654	24911
185	5681	24863
186	5708	24816
187	5745	24815
188	5772	24768
189	5797	24716
190	5823	24663
191	5850	24619
192	5875	24567
193	5905	24534
194	5937	24511
195	5968	24483
196	6002	24466
197	6026	24411
198	6066	24420
199	6117	24469
200	6151	24452
201	6191	24457
202	6223	24434
203	6256	24411
204	6282	24365
205	6311	24328
206	6433	24645
207	6462	24608
208	6520	24679
209	6557	24670
210	6607	24707
211	6707	24932
212	6776	25038
213	6810	25014
214	6850	25011
215	6885	24990
216	6919	24966
217	6950	24930
218	6983	24904
219	7016	24875
220	7049	24849
221	7081	24818
222	7113	24784
223	7138	24731
224	7165	24681
225	7191	24627
226	7217	24577
227	7243	24527
228	7267	24468
229	7294	24421
230	7326	24388
231	7352	24340
232	7515	24740
233	7554	24730
234	7590	24709
235	7628	24694
236	7656	24650
237	7686	24608
238	7720	24582
239	7751	24546
240	7789	24533
241	7825	24511
242	7872	24523
243	7935	24587
244	7984	24606
245	8013	24561
